optimum
100
iteration,score,rawScore,overlap
0, 862, 702, 4
1, 1400, 720, 17
2, 939, 819, 3
3, 836, 756, 2
4, 925, 525, 10
5, 1079, 759, 8
6, 1042, 962, 2
7, 648, 648, 0
8, 915, 875, 1
9, 1325, 925, 10
10, 880, 720, 4
11, 821, 741, 2
12, 850, 850, 0
13, 973, 693, 7
14, 726, 726, 0
15, 1186, 1026, 4
16, 945, 945, 0
17, 891, 851, 1
18, 713, 713, 0
19, 920, 760, 4
20, 784, 744, 1
21, 863, 783, 2
22, 888, 888, 0
23, 820, 740, 2
24, 1090, 570, 13
25, 860, 660, 5
26, 1213, 1053, 4
27, 912, 912, 0
28, 835, 675, 4
29, 1050, 810, 6
30, 782, 782, 0
31, 1000, 720, 7
32, 831, 551, 7
33, 1148, 988, 4
34, 888, 888, 0
35, 756, 756, 0
36, 753, 713, 1
37, 782, 782, 0
38, 1030, 950, 2
39, 1065, 945, 3
40, 965, 805, 4
41, 1125, 925, 5
42, 750, 510, 6
43, 868, 748, 3
44, 935, 775, 4
45, 767, 567, 5
46, 925, 805, 3
47, 820, 740, 2
48, 1291, 891, 10
49, 888, 888, 0
50, 609, 609, 0
51, 940, 900, 1
52, 972, 972, 0
53, 1142, 702, 11
54, 1128, 648, 12
55, 998, 638, 9
56, 750, 750, 0
57, 780, 700, 2
58, 578, 378, 5
59, 875, 875, 0
60, 1171, 651, 13
61, 1045, 925, 3
62, 1072, 912, 4
63, 1070, 950, 3
64, 1005, 925, 2
65, 858, 858, 0
66, 1116, 836, 7
67, 1239, 759, 12
68, 1053, 1053, 0
69, 994, 754, 6
70, 1105, 945, 4
71, 768, 768, 0
72, 1515, 875, 16
73, 819, 819, 0
74, 1238, 798, 11
75, 1212, 972, 6
76, 1104, 864, 6
77, 1100, 780, 8
78, 858, 858, 0
79, 919, 759, 4
80, 900, 900, 0
81, 855, 775, 2
82, 1190, 950, 6
83, 1067, 627, 11
84, 840, 840, 0
85, 944, 544, 10
86, 806, 806, 0
87, 805, 805, 0
88, 1088, 888, 5
89, 700, 700, 0
90, 990, 910, 2
91, 690, 690, 0
92, 1385, 825, 14
93, 1336, 936, 10
94, 790, 630, 4
95, 920, 840, 2
96, 1204, 884, 8
97, 810, 810, 0
98, 1153, 513, 16
99, 776, 576, 5
100, 954, 874, 2
101, 688, 648, 1
102, 1105, 945, 4
103, 959, 759, 5
104, 753, 713, 1
105, 736, 736, 0
106, 1275, 875, 10
107, 828, 828, 0
108, 1238, 918, 8
109, 904, 864, 1
110, 825, 825, 0
111, 1192, 792, 10
112, 928, 888, 1
113, 1147, 627, 13
114, 1120, 840, 7
115, 950, 950, 0
116, 750, 750, 0
117, 750, 750, 0
118, 1359, 759, 15
119, 860, 660, 5
120, 949, 429, 13
121, 750, 750, 0
122, 875, 875, 0
123, 1055, 735, 8
124, 806, 806, 0
125, 827, 667, 4
126, 890, 810, 2
127, 855, 775, 2
128, 1018, 858, 4
129, 684, 684, 0
130, 1000, 720, 7
131, 858, 858, 0
132, 985, 945, 1
133, 810, 810, 0
134, 1298, 858, 11
135, 1005, 925, 2
136, 1199, 759, 11
137, 925, 805, 3
138, 905, 825, 2
139, 747, 667, 2
140, 1096, 936, 4
141, 667, 667, 0
142, 1053, 1053, 0
143, 1056, 936, 3
144, 836, 756, 2
145, 858, 858, 0
146, 1582, 702, 22
147, 850, 850, 0
148, 670, 630, 1
149, 1016, 936, 2
150, 982, 702, 7
151, 914, 874, 1
152, 936, 936, 0
153, 816, 816, 0
154, 1145, 945, 5
155, 864, 864, 0
156, 688, 608, 2
157, 915, 675, 6
158, 1375, 775, 15
159, 825, 825, 0
160, 560, 560, 0
161, 1018, 858, 4
162, 864, 864, 0
163, 1344, 864, 12
164, 1190, 950, 6
165, 1030, 950, 2
166, 759, 759, 0
167, 859, 819, 1
168, 896, 736, 4
169, 740, 700, 1
170, 972, 972, 0
171, 965, 805, 4
172, 1005, 805, 5
173, 926, 806, 3
174, 648, 648, 0
175, 1064, 624, 11
176, 882, 722, 4
177, 590, 350, 6
178, 874, 594, 7
179, 760, 760, 0
180, 1335, 775, 14
181, 928, 888, 1
182, 1053, 1053, 0
183, 1096, 936, 4
184, 726, 726, 0
185, 1028, 748, 7
186, 940, 900, 1
187, 825, 825, 0
188, 902, 782, 3
189, 840, 800, 1
190, 693, 693, 0
191, 907, 667, 6
192, 730, 690, 1
193, 855, 775, 2
194, 968, 888, 2
195, 792, 792, 0
196, 952, 792, 4
197, 1065, 825, 6
198, 650, 650, 0
199, 1150, 910, 6
200, 996, 756, 6
201, 944, 864, 2
202, 1048, 608, 11
