optimum
2500
iteration,score,rawScore,overlap
244, 33901, 33901, 0
245, 36582, 36582, 0
246, 50808, 14400, 164
247, 39324, 35328, 18
248, 33540, 33540, 0
249, 40418, 36200, 19
250, 22400, 22400, 0
251, 57308, 22454, 157
252, 32111, 32111, 0
253, 25524, 21750, 17
254, 21061, 19285, 8
255, 29256, 29256, 0
256, 33480, 33480, 0
257, 33744, 25752, 36
258, 33378, 28050, 24
259, 26687, 26243, 2
260, 31578, 28914, 12
261, 31452, 29232, 10
262, 39242, 34580, 21
263, 24472, 24472, 0
264, 56716, 25192, 142
265, 22176, 22176, 0
266, 27923, 20375, 34
267, 22352, 22352, 0
268, 36016, 26026, 45
269, 28998, 28998, 0
270, 35145, 35145, 0
271, 27018, 27018, 0
272, 61992, 24030, 171
273, 37296, 31524, 26
274, 23213, 23213, 0
275, 64862, 35114, 134
276, 35963, 25085, 49
277, 28710, 27378, 6
278, 48438, 31122, 78
279, 27558, 24450, 14
280, 38984, 28994, 45
281, 53126, 32480, 93
282, 45369, 29829, 70
283, 31050, 31050, 0
284, 31224, 28116, 14
285, 21840, 21840, 0
286, 36621, 31959, 21
287, 33622, 26296, 33
288, 25098, 25098, 0
289, 44037, 25389, 84
290, 50592, 32832, 80
291, 20158, 17272, 13
292, 34106, 29666, 20
293, 22099, 21877, 1
294, 38998, 19684, 87
295, 36866, 32648, 19
296, 28756, 28756, 0
297, 24120, 23232, 4
298, 29778, 25116, 21
299, 66755, 25019, 260
300, 38540, 25220, 60
301, 39898, 21472, 83
302, 43003, 33901, 41
303, 31452, 29232, 10
304, 30368, 30368, 0
305, 52914, 28938, 108
306, 26271, 26271, 0
307, 31278, 28836, 11
308, 32040, 32040, 0
309, 40448, 39338, 5
310, 21800, 21800, 0
311, 22400, 22400, 0
312, 73847, 32111, 252
313, 40222, 40222, 0
314, 27768, 23328, 20
315, 68799, 37275, 142
316, 44946, 29850, 68
317, 24472, 24472, 0
318, 24486, 21600, 13
319, 27872, 27872, 0
320, 40418, 36200, 19
321, 54928, 13192, 263
322, 27573, 26019, 7
323, 40926, 15840, 113
324, 22152, 22152, 0
325, 26142, 20592, 25
326, 26688, 26688, 0
327, 32032, 32032, 0
328, 69468, 31506, 171
329, 28764, 26544, 10
330, 29638, 29638, 0
331, 72059, 30545, 187
332, 40506, 35844, 21
333, 58144, 30394, 125
334, 38948, 38948, 0
335, 29205, 28539, 3
336, 34314, 26544, 35
337, 32242, 28912, 15
338, 23443, 23443, 0
339, 53011, 30589, 101
340, 30034, 28036, 9
341, 18288, 18288, 0
342, 27900, 27900, 0
343, 27998, 26000, 9
344, 55170, 24534, 138
345, 31950, 31506, 2
346, 27510, 19296, 37
347, 35984, 35984, 0
348, 33540, 33540, 0
349, 47762, 22454, 114
350, 63067, 22663, 182
351, 26806, 25696, 5
352, 29583, 29583, 0
353, 52572, 37698, 67
354, 41724, 20412, 96
355, 26417, 26195, 1
356, 67590, 25854, 202
357, 28470, 28026, 2
358, 58194, 28224, 135
359, 22484, 22484, 0
360, 74304, 32568, 225
361, 40418, 36200, 19
362, 30338, 30338, 0
363, 67488, 25752, 253
364, 29190, 26082, 14
365, 48391, 16867, 142
366, 38266, 30940, 33
367, 47440, 23908, 106
368, 21024, 21024, 0
369, 66312, 24576, 244
370, 34307, 34307, 0
371, 29882, 29216, 3
372, 33480, 33480, 0
373, 28381, 17947, 47
374, 40664, 40664, 0
375, 44561, 32351, 55
376, 19350, 19350, 0
377, 34022, 22922, 50
378, 26226, 24450, 8
379, 27204, 25872, 6
380, 57664, 32800, 112
381, 38592, 33930, 21
382, 28152, 28152, 0
383, 29256, 29256, 0
384, 30762, 26100, 21
385, 45702, 26832, 85
386, 22620, 22620, 0
387, 38136, 22152, 72
388, 20586, 20586, 0
389, 31824, 31824, 0
390, 37513, 16867, 93
391, 18606, 16830, 8
392, 55108, 19588, 160
393, 45403, 34081, 51
394, 72691, 30955, 310
395, 29187, 29187, 0
396, 38266, 30940, 33
397, 70908, 29172, 209
398, 46712, 27398, 87
399, 31262, 31040, 1
400, 45298, 35752, 43
401, 33600, 29160, 20
402, 64876, 23140, 211
403, 37024, 37024, 0
404, 40222, 40222, 0
405, 59056, 23980, 158
406, 21609, 20943, 3
407, 31917, 30141, 8
408, 25120, 25120, 0
409, 32942, 32942, 0
410, 34712, 30272, 20
411, 52703, 33389, 87
412, 25904, 22352, 16
413, 23189, 21413, 8
414, 30338, 30338, 0
415, 42192, 32868, 42
416, 26386, 26386, 0
417, 54154, 23074, 140
418, 56506, 28756, 125
419, 29135, 22475, 30
420, 43668, 22356, 96
421, 54408, 31320, 104
422, 45962, 24650, 96
423, 20952, 18288, 12
424, 50258, 14960, 159
425, 34886, 22454, 56
