optimum
100
iteration,score,rawScore,overlap
0, 910, 910, 0
1, 782, 782, 0
2, 900, 900, 0
3, 1535, 975, 14
4, 800, 720, 2
5, 782, 782, 0
6, 1055, 975, 2
7, 910, 910, 0
8, 800, 720, 2
9, 1055, 975, 2
10, 910, 910, 0
11, 1055, 975, 2
12, 1055, 975, 2
13, 975, 975, 0
14, 1218, 858, 9
15, 950, 950, 0
16, 1324, 884, 11
17, 976, 936, 1
18, 950, 950, 0
19, 910, 910, 0
20, 1218, 858, 9
21, 976, 936, 1
22, 976, 936, 1
23, 950, 950, 0
24, 950, 950, 0
25, 1056, 936, 3
26, 912, 912, 0
27, 910, 910, 0
28, 910, 910, 0
29, 884, 884, 0
30, 912, 912, 0
31, 990, 910, 2
32, 976, 936, 1
33, 1324, 884, 11
34, 910, 910, 0
35, 976, 936, 1
36, 912, 912, 0
37, 910, 910, 0
38, 910, 910, 0
39, 976, 936, 1
40, 976, 936, 1
41, 910, 910, 0
42, 910, 910, 0
43, 976, 936, 1
44, 976, 936, 1
45, 910, 910, 0
46, 976, 936, 1
47, 910, 910, 0
48, 910, 910, 0
49, 910, 910, 0
50, 910, 910, 0
51, 910, 910, 0
52, 976, 936, 1
53, 910, 910, 0
54, 910, 910, 0
55, 910, 910, 0
56, 910, 910, 0
57, 957, 837, 3
58, 744, 704, 1
59, 525, 525, 0
60, 1314, 714, 15
61, 960, 640, 8
62, 754, 714, 1
63, 480, 480, 0
64, 1394, 714, 17
65, 1011, 891, 3
66, 957, 837, 3
67, 957, 837, 3
68, 1011, 891, 3
69, 754, 714, 1
70, 957, 837, 3
71, 957, 837, 3
72, 1011, 891, 3
73, 754, 714, 1
74, 1011, 891, 3
75, 957, 837, 3
76, 957, 837, 3
77, 957, 837, 3
78, 957, 837, 3
79, 957, 837, 3
80, 957, 837, 3
81, 957, 837, 3
82, 1102, 702, 10
83, 777, 777, 0
84, 1016, 936, 2
85, 851, 851, 0
86, 825, 825, 0
87, 1102, 702, 10
88, 1102, 702, 10
89, 650, 650, 0
90, 889, 729, 4
91, 1102, 702, 10
92, 1102, 702, 10
93, 756, 676, 2
94, 1076, 676, 10
95, 1102, 702, 10
96, 756, 676, 2
97, 756, 676, 2
98, 756, 676, 2
99, 756, 676, 2
100, 756, 676, 2
101, 756, 676, 2
102, 756, 676, 2
103, 1102, 702, 10
104, 1102, 702, 10
105, 756, 676, 2
106, 756, 676, 2
107, 1102, 702, 10
108, 756, 676, 2
109, 756, 676, 2
110, 756, 676, 2
111, 756, 676, 2
112, 756, 676, 2
113, 1102, 702, 10
114, 756, 676, 2
115, 756, 676, 2
116, 1102, 702, 10
117, 1102, 702, 10
118, 756, 676, 2
119, 756, 676, 2
120, 1102, 702, 10
121, 1102, 702, 10
122, 1102, 702, 10
123, 1102, 702, 10
124, 1102, 702, 10
125, 1102, 702, 10
126, 756, 676, 2
127, 756, 676, 2
128, 1102, 702, 10
129, 1102, 702, 10
130, 1102, 702, 10
131, 1102, 702, 10
132, 1102, 702, 10
133, 1102, 702, 10
134, 1102, 702, 10
135, 1284, 884, 10
136, 948, 828, 3
137, 1108, 828, 7
138, 1050, 810, 6
139, 955, 875, 2
140, 1060, 900, 4
141, 948, 828, 3
142, 876, 756, 3
143, 955, 875, 2
144, 1520, 840, 17
145, 840, 720, 3
146, 1144, 864, 7
147, 1136, 936, 5
148, 1144, 864, 7
149, 840, 720, 3
150, 1136, 936, 5
151, 1284, 884, 10
152, 976, 936, 1
153, 1136, 936, 5
154, 1284, 884, 10
155, 840, 720, 3
156, 876, 756, 3
157, 1070, 910, 4
158, 1136, 936, 5
159, 976, 936, 1
160, 984, 864, 3
161, 1216, 936, 7
162, 1084, 884, 5
163, 1216, 936, 7
164, 1056, 936, 3
165, 1096, 936, 4
166, 1084, 884, 5
167, 1084, 884, 5
168, 1084, 884, 5
169, 1056, 936, 3
170, 1084, 884, 5
171, 1084, 884, 5
172, 1204, 884, 8
173, 1204, 884, 8
174, 1084, 884, 5
175, 1084, 884, 5
176, 1204, 884, 8
177, 1204, 884, 8
178, 1204, 884, 8
179, 1084, 884, 5
180, 1204, 884, 8
181, 1204, 884, 8
182, 1204, 884, 8
183, 1204, 884, 8
184, 1204, 884, 8
185, 1204, 884, 8
186, 1204, 884, 8
187, 1204, 884, 8
188, 1204, 884, 8
189, 1284, 884, 10
