optimum
2500
iteration,score,rawScore,overlap
0, 6935, 6935, 0
1, 6867, 6867, 0
2, 6840, 6840, 0
3, 6396, 6396, 0
4, 4941, 4941, 0
5, 5530, 5530, 0
6, 6336, 6336, 0
7, 5320, 5320, 0
8, 7420, 7420, 0
9, 7920, 7920, 0
10, 5427, 5427, 0
11, 6880, 6880, 0
12, 5796, 5796, 0
13, 5467, 5467, 0
14, 6336, 6336, 0
15, 6035, 6035, 0
16, 5112, 5112, 0
17, 6600, 6600, 0
18, 6448, 6448, 0
19, 7107, 7107, 0
20, 4550, 4550, 0
21, 5082, 5082, 0
22, 4929, 4929, 0
23, 5900, 5900, 0
24, 6188, 6188, 0
25, 7252, 7252, 0
26, 6156, 6156, 0
27, 7134, 7134, 0
28, 5916, 5916, 0
29, 6497, 6497, 0
30, 4275, 4275, 0
31, 5950, 5950, 0
32, 5226, 5226, 0
33, 5978, 5978, 0
34, 6534, 6534, 0
35, 5544, 5544, 0
36, 6970, 6970, 0
37, 6052, 6052, 0
38, 7458, 7458, 0
39, 4620, 4620, 0
40, 6020, 6020, 0
41, 6806, 6806, 0
42, 6256, 6256, 0
43, 5183, 5183, 0
44, 6460, 6460, 0
45, 4819, 4819, 0
46, 7280, 7280, 0
47, 5751, 5751, 0
48, 5984, 5984, 0
49, 6580, 6580, 0
50, 7347, 7347, 0
51, 7176, 7176, 0
52, 5293, 5293, 0
53, 5402, 5402, 0
54, 9975, 9975, 0
55, 6083, 6083, 0
56, 6399, 6399, 0
57, 5270, 5270, 0
58, 7315, 7315, 0
59, 6800, 6800, 0
60, 6138, 6138, 0
61, 6901, 6901, 0
62, 5808, 5808, 0
63, 6586, 6586, 0
64, 6300, 6300, 0
65, 5846, 5846, 0
66, 6077, 6077, 0
67, 6322, 6322, 0
68, 5408, 5408, 0
69, 6734, 6734, 0
70, 5168, 5168, 0
71, 5133, 5133, 0
72, 6930, 6930, 0
73, 5427, 5427, 0
74, 5852, 5852, 0
75, 5236, 5236, 0
76, 7954, 7954, 0
77, 6952, 6952, 0
78, 5340, 5340, 0
79, 7102, 7102, 0
80, 5396, 5396, 0
81, 5270, 5270, 0
82, 4960, 4960, 0
83, 5925, 5925, 0
84, 7752, 7752, 0
85, 6083, 6083, 0
86, 5451, 5451, 0
87, 7119, 7119, 0
88, 7568, 7568, 0
89, 5776, 5776, 0
90, 5402, 5402, 0
91, 5840, 5840, 0
92, 5280, 5280, 0
93, 5320, 5320, 0
94, 4940, 4940, 0
95, 5808, 5808, 0
96, 7820, 7820, 0
97, 4845, 4845, 0
98, 6204, 6204, 0
99, 5952, 5952, 0
100, 4760, 4760, 0
101, 6642, 6642, 0
102, 6720, 6720, 0
103, 7826, 7826, 0
104, 5720, 5720, 0
105, 5695, 5695, 0
106, 5304, 5304, 0
107, 5544, 5544, 0
108, 5152, 5152, 0
109, 5440, 5440, 0
110, 6741, 6741, 0
111, 7392, 7392, 0
112, 5925, 5925, 0
113, 5670, 5670, 0
114, 5096, 5096, 0
115, 5576, 5576, 0
116, 6552, 6552, 0
117, 5330, 5330, 0
118, 5412, 5412, 0
119, 6612, 6612, 0
120, 7636, 7636, 0
121, 6120, 6120, 0
122, 6935, 6935, 0
123, 5183, 5183, 0
124, 8075, 8075, 0
125, 5865, 5865, 0
126, 5041, 5041, 0
127, 6600, 6600, 0
128, 5775, 5775, 0
129, 5621, 5621, 0
130, 7178, 7178, 0
131, 7189, 7189, 0
132, 7125, 7125, 0
133, 5340, 5340, 0
134, 7275, 7275, 0
135, 6097, 6097, 0
136, 6460, 6460, 0
137, 5220, 5220, 0
138, 6320, 6320, 0
139, 6156, 6156, 0
140, 5628, 5628, 0
141, 6308, 6308, 0
