x,y,index
98, 69, 0
97, 70, 0
98, 70, 0
99, 70, 0
96, 71, 0
97, 71, 0
98, 71, 0
99, 71, 0
95, 72, 0
96, 72, 0
97, 72, 0
98, 72, 0
99, 72, 0
100, 72, 0
101, 72, 0
102, 72, 0
103, 72, 0
93, 73, 0
94, 73, 0
95, 73, 0
96, 73, 0
97, 73, 0
98, 73, 0
99, 73, 0
100, 73, 0
101, 73, 0
102, 73, 0
91, 74, 0
92, 74, 0
93, 74, 0
94, 74, 0
95, 74, 0
96, 74, 0
97, 74, 0
98, 74, 0
99, 74, 0
100, 74, 0
101, 74, 0
102, 74, 0
89, 75, 0
90, 75, 0
91, 75, 0
92, 75, 0
93, 75, 0
94, 75, 0
95, 75, 0
96, 75, 0
97, 75, 0
98, 75, 0
99, 75, 0
100, 75, 0
101, 75, 0
102, 75, 0
89, 76, 0
90, 76, 0
91, 76, 0
92, 76, 0
93, 76, 0
94, 76, 0
95, 76, 0
96, 76, 0
97, 76, 0
98, 76, 0
99, 76, 0
100, 76, 0
101, 76, 0
89, 77, 0
90, 77, 0
91, 77, 0
92, 77, 0
93, 77, 0
94, 77, 0
95, 77, 0
96, 77, 0
97, 77, 0
98, 77, 0
99, 77, 0
100, 77, 0
101, 77, 0
102, 77, 0
89, 78, 0
90, 78, 0
91, 78, 0
92, 78, 0
93, 78, 0
94, 78, 0
95, 78, 0
96, 78, 0
97, 78, 0
98, 78, 0
99, 78, 0
100, 78, 0
101, 78, 0
102, 78, 0
89, 79, 0
90, 79, 0
91, 79, 0
92, 79, 0
93, 79, 0
94, 79, 0
95, 79, 0
96, 79, 0
97, 79, 0
98, 79, 0
99, 79, 0
100, 79, 0
101, 79, 0
102, 79, 0
89, 80, 0
90, 80, 0
91, 80, 0
92, 80, 0
93, 80, 0
94, 80, 0
95, 80, 0
96, 80, 0
97, 80, 0
98, 80, 0
99, 80, 0
100, 80, 0
101, 80, 0
102, 80, 0
89, 81, 0
90, 81, 0
91, 81, 0
92, 81, 0
93, 81, 0
94, 81, 0
95, 81, 0
96, 81, 0
97, 81, 0
98, 81, 0
99, 81, 0
100, 81, 0
101, 81, 0
102, 81, 0
103, 81, 0
104, 81, 0
105, 81, 0
89, 82, 0
90, 82, 0
91, 82, 0
92, 82, 0
93, 82, 0
94, 82, 0
95, 82, 0
96, 82, 0
97, 82, 0
98, 82, 0
99, 82, 0
100, 82, 0
101, 82, 0
102, 82, 0
103, 82, 0
104, 82, 0
105, 82, 0
106, 82, 0
107, 82, 0
108, 82, 0
89, 83, 0
90, 83, 0
91, 83, 0
92, 83, 0
93, 83, 0
94, 83, 0
95, 83, 0
96, 83, 0
97, 83, 0
98, 83, 0
99, 83, 0
100, 83, 0
101, 83, 0
102, 83, 0
103, 83, 0
104, 83, 0
105, 83, 0
106, 83, 0
107, 83, 0
108, 83, 0
109, 83, 0
110, 83, 0
89, 84, 0
90, 84, 0
91, 84, 0
92, 84, 0
93, 84, 0
94, 84, 0
95, 84, 0
96, 84, 0
97, 84, 0
98, 84, 0
99, 84, 0
100, 84, 0
101, 84, 0
102, 84, 0
103, 84, 0
104, 84, 0
105, 84, 0
106, 84, 0
89, 85, 0
90, 85, 0
91, 85, 0
92, 85, 0
93, 85, 0
94, 85, 0
95, 85, 0
96, 85, 0
97, 85, 0
98, 85, 0
99, 85, 0
100, 85, 0
101, 85, 0
102, 85, 0
103, 85, 0
104, 85, 0
89, 86, 0
90, 86, 0
91, 86, 0
92, 86, 0
93, 86, 0
94, 86, 0
95, 86, 0
96, 86, 0
97, 86, 0
98, 86, 0
99, 86, 0
100, 86, 0
101, 86, 0
102, 86, 0
103, 86, 0
89, 87, 0
90, 87, 0
91, 87, 0
92, 87, 0
93, 87, 0
94, 87, 0
95, 87, 0
96, 87, 0
97, 87, 0
98, 87, 0
99, 87, 0
100, 87, 0
101, 87, 0
102, 87, 0
89, 88, 0
90, 88, 0
91, 88, 0
92, 88, 0
93, 88, 0
94, 88, 0
95, 88, 0
96, 88, 0
97, 88, 0
98, 88, 0
99, 88, 0
100, 88, 0
101, 88, 0
89, 89, 0
90, 89, 0
91, 89, 0
92, 89, 0
93, 89, 0
94, 89, 0
95, 89, 0
96, 89, 0
97, 89, 0
98, 89, 0
99, 89, 0
100, 89, 0
89, 90, 0
90, 90, 0
91, 90, 0
92, 90, 0
93, 90, 0
94, 90, 0
95, 90, 0
96, 90, 0
97, 90, 0
98, 90, 0
99, 90, 0
100, 90, 0
89, 91, 0
90, 91, 0
91, 91, 0
92, 91, 0
93, 91, 0
94, 91, 0
95, 91, 0
96, 91, 0
97, 91, 0
98, 91, 0
99, 91, 0
89, 92, 0
90, 92, 0
91, 92, 0
92, 92, 0
93, 92, 0
94, 92, 0
95, 92, 0
96, 92, 0
97, 92, 0
98, 92, 0
89, 93, 0
90, 93, 0
91, 93, 0
92, 93, 0
93, 93, 0
94, 93, 0
95, 93, 0
96, 93, 0
97, 93, 0
89, 94, 0
90, 94, 0
91, 94, 0
92, 94, 0
93, 94, 0
94, 94, 0
95, 94, 0
96, 94, 0
89, 95, 0
90, 95, 0
91, 95, 0
92, 95, 0
93, 95, 0
94, 95, 0
95, 95, 0
89, 96, 0
90, 96, 0
91, 96, 0
92, 96, 0
93, 96, 0
94, 96, 0
95, 96, 0
89, 97, 0
90, 97, 0
91, 97, 0
92, 97, 0
93, 97, 0
94, 97, 0
89, 98, 0
90, 98, 0
91, 98, 0
92, 98, 0
93, 98, 0
110, 117, 1
111, 117, 1
112, 117, 1
108, 118, 1
109, 118, 1
110, 118, 1
111, 118, 1
112, 118, 1
113, 118, 1
114, 118, 1
106, 119, 1
107, 119, 1
108, 119, 1
109, 119, 1
110, 119, 1
111, 119, 1
112, 119, 1
113, 119, 1
114, 119, 1
115, 119, 1
116, 119, 1
104, 120, 1
105, 120, 1
106, 120, 1
107, 120, 1
108, 120, 1
109, 120, 1
110, 120, 1
111, 120, 1
112, 120, 1
113, 120, 1
114, 120, 1
115, 120, 1
116, 120, 1
117, 120, 1
118, 120, 1
103, 121, 1
104, 121, 1
105, 121, 1
106, 121, 1
107, 121, 1
108, 121, 1
109, 121, 1
110, 121, 1
111, 121, 1
112, 121, 1
113, 121, 1
114, 121, 1
115, 121, 1
116, 121, 1
117, 121, 1
118, 121, 1
119, 121, 1
101, 122, 1
102, 122, 1
103, 122, 1
104, 122, 1
105, 122, 1
106, 122, 1
107, 122, 1
108, 122, 1
109, 122, 1
110, 122, 1
111, 122, 1
112, 122, 1
113, 122, 1
114, 122, 1
115, 122, 1
116, 122, 1
117, 122, 1
101, 123, 1
102, 123, 1
103, 123, 1
104, 123, 1
105, 123, 1
106, 123, 1
107, 123, 1
108, 123, 1
109, 123, 1
110, 123, 1
111, 123, 1
112, 123, 1
113, 123, 1
114, 123, 1
115, 123, 1
116, 123, 1
117, 123, 1
100, 124, 1
101, 124, 1
102, 124, 1
103, 124, 1
104, 124, 1
105, 124, 1
106, 124, 1
107, 124, 1
108, 124, 1
109, 124, 1
110, 124, 1
111, 124, 1
112, 124, 1
113, 124, 1
114, 124, 1
115, 124, 1
116, 124, 1
117, 124, 1
99, 125, 1
100, 125, 1
101, 125, 1
102, 125, 1
103, 125, 1
104, 125, 1
105, 125, 1
106, 125, 1
107, 125, 1
108, 125, 1
109, 125, 1
110, 125, 1
111, 125, 1
112, 125, 1
113, 125, 1
114, 125, 1
115, 125, 1
116, 125, 1
117, 125, 1
118, 125, 1
99, 126, 1
100, 126, 1
101, 126, 1
102, 126, 1
103, 126, 1
104, 126, 1
105, 126, 1
106, 126, 1
107, 126, 1
108, 126, 1
109, 126, 1
110, 126, 1
111, 126, 1
112, 126, 1
113, 126, 1
114, 126, 1
115, 126, 1
116, 126, 1
117, 126, 1
118, 126, 1
99, 127, 1
100, 127, 1
101, 127, 1
102, 127, 1
103, 127, 1
104, 127, 1
105, 127, 1
106, 127, 1
107, 127, 1
108, 127, 1
109, 127, 1
110, 127, 1
111, 127, 1
112, 127, 1
113, 127, 1
114, 127, 1
115, 127, 1
116, 127, 1
117, 127, 1
118, 127, 1
98, 128, 1
99, 128, 1
100, 128, 1
101, 128, 1
102, 128, 1
103, 128, 1
