iteration, score, overlap
354, 281443, 0
355, 291054, 0
356, 251328, 0
357, 291054, 0
358, 291054, 0
359, 291054, 0
360, 223167, 1
361, 139756, 1
362, 115563, 1
363, 210354, 1
364, 223167, 1
365, 223167, 1
366, 224835, 1
367, 272373, 1
368, 248949, 0
369, 216795, 1
370, 115563, 1
371, 212016, 1
372, 222287, 1
373, 159098, 1
374, 218971, 1
375, 274458, 1
376, 164540, 1
377, 223167, 1
378, 223167, 1
379, 271670, 1
380, 110784, 1
381, 142791, 1
382, 110784, 1
383, 117924, 1
384, 170006, 1
385, 156261, 1
386, 193068, 1
387, 113328, 1
388, 127308, 1
389, 332400, 1
390, 110784, 1
391, 148667, 1
392, 110784, 1
393, 403185, 1
394, 115758, 1
395, 332400, 1
396, 190465, 1
397, 90180, 1
398, 186776, 1
399, 205302, 1
400, 90180, 1
401, 164757, 1
402, 109269, 1
403, 105393, 1
404, 115641, 1
405, 106614, 1
406, 181485, 1
407, 211221, 1
408, 191043, 1
409, 125481, 1
410, 153725, 1
411, 111250, 1
412, 148956, 1
413, 157400, 1
414, 153100, 1
415, 109341, 1
416, 89300, 1
417, 153725, 1
418, 202006, 0
419, 157225, 1
420, 89300, 1
421, 167705, 1
422, 228633, 1
423, 154339, 1
424, 162000, 0
425, 113447, 1
426, 159251, 1
427, 204073, 1
428, 228019, 1
429, 153500, 0
430, 89300, 1
431, 103700, 0
432, 102000, 1
433, 181320, 1
434, 164120, 1
435, 125256, 0
436, 89300, 1
437, 108140, 1
438, 163649, 1
439, 72820, 1
440, 72820, 1
441, 141330, 1
442, 143498, 1
443, 146172, 1
444, 163896, 1
445, 116100, 1
446, 118020, 1
447, 213128, 1
448, 179684, 1
449, 102422, 1
450, 177839, 1
451, 73436, 1
452, 72820, 1
453, 131031, 1
454, 124548, 1
455, 181220, 1
456, 158060, 1
457, 71960, 1
458, 148040, 1
459, 177839, 1
460, 71960, 1
461, 204827, 1
462, 242725, 0
463, 206824, 1
464, 236664, 0
465, 203789, 1
466, 237290, 1
467, 176979, 0
468, 184680, 0
469, 279620, 1
470, 84000, 1
471, 284670, 1
472, 124850, 1
473, 72860, 1
474, 179250, 0
475, 99824, 1
476, 278760, 0
477, 84000, 1
478, 89952, 1
479, 125280, 1
480, 72860, 1
481, 100320, 1
482, 114048, 1
483, 125465, 1
484, 147744, 1
485, 85536, 1
486, 120684, 1
487, 152988, 1
488, 130870, 1
489, 88992, 1
490, 146206, 1
491, 96640, 1
492, 148500, 1
493, 146206, 1
494, 207095, 0
495, 146206, 1
496, 180576, 0
497, 294228, 1
498, 122756, 1
499, 218859, 1
500, 96640, 1
501, 145306, 0
502, 282685, 1
503, 133790, 1
504, 199847, 1
505, 218859, 1
506, 166576, 1
507, 176761, 1
508, 261569, 1
509, 163754, 1
510, 123630, 1
511, 123630, 1
512, 111396, 1
513, 164060, 1
514, 98365, 1
515, 123870, 1
516, 144778, 1
517, 130890, 1
518, 170378, 1
519, 123630, 1
520, 98365, 1
521, 203246, 1
522, 182315, 1
523, 242236, 1
524, 145350, 1
525, 184308, 1
526, 172146, 1
527, 178954, 1
528, 145470, 1
529, 184806, 1
530, 184040, 1
531, 181740, 1
532, 98365, 1
533, 157218, 1
534, 184040, 1
535, 198892, 1
536, 239166, 1
537, 204834, 1
538, 176565, 1
539, 100703, 1
540, 98365, 1
541, 214743, 1
542, 182600, 1
543, 204860, 1
544, 294788, 1
545, 156864, 1
546, 163816, 1
547, 304500, 1
548, 165712, 1
549, 200244, 1
550, 309248, 1
551, 135264, 1
552, 309248, 1
553, 320096, 1
554, 309248, 1
555, 309248, 1
556, 385746, 1
557, 266801, 1
558, 310235, 1
559, 308348, 1
560, 135264, 1
561, 386572, 1
562, 257640, 1
563, 309248, 1
564, 353841, 1
565, 265623, 1
566, 309248, 1
567, 343795, 1
568, 368239, 1
569, 308348, 1
570, 189708, 1
571, 189708, 1
572, 188808, 1
573, 263534, 1
574, 197904, 0
575, 231486, 1
576, 189708, 1
577, 134124, 1
578, 118984, 1
579, 139525, 1
580, 118984, 1
581, 154579, 1
582, 221781, 1
583, 183356, 1
584, 138405, 1
585, 139525, 1
586, 189708, 1
587, 224349, 1
588, 197996, 1
589, 189668, 1
590, 144164, 1
591, 172968, 1
592, 136400, 1
593, 136400, 1
594, 184324, 1
595, 261197, 1
596, 118440, 1
597, 199328, 1
598, 144164, 1
599, 160166, 1
600, 118440, 1
601, 206600, 1
602, 216778, 1
603, 260472, 1
604, 146236, 1
605, 121900, 1
606, 195952, 1
607, 147552, 1
608, 97396, 1
609, 222744, 1
610, 97396, 1
611, 131670, 1
612, 210850, 1
613, 153810, 1
614, 127350, 1
615, 123000, 1
616, 321156, 1
617, 371376, 1
618, 321156, 1
619, 321156, 1
620, 158766, 1
621, 189756, 1
622, 142002, 0
623, 178740, 1
624, 213462, 1
625, 236310, 1
626, 321156, 1
627, 97396, 1
628, 158766, 1
629, 160034, 1
630, 97396, 1
631, 154512, 1
632, 159406, 1
633, 228330, 1
634, 158766, 1
635, 188148, 1
636, 108680, 1
637, 158766, 1
638, 159400, 1
639, 186028, 1
640, 97396, 1
641, 165856, 1
642, 96006, 1
643, 134535, 1
644, 234545, 1
645, 97396, 1
646, 125736, 1
647, 97396, 1
648, 105092, 1
649, 136842, 1
650, 96006, 1
651, 204992, 1
652, 212503, 1
653, 128228, 1
654, 158070, 1
655, 132930, 1
656, 151650, 1
657, 137248, 1
658, 169196, 1
659, 189579, 1
660, 103365, 1
661, 362490, 1
662, 103365, 1
663, 139460, 1
664, 80554, 1
665, 189579, 1
666, 179092, 1
667, 289400, 1
668, 189579, 1
669, 167308, 1
670, 80554, 1
671, 106200, 1
672, 167880, 1
673, 167308, 1
674, 150345, 1
675, 121328, 1
676, 111465, 1
677, 103365, 1
678, 145644, 0
679, 166408, 0
680, 283119, 1
681, 122610, 1
682, 296670, 0
683, 230052, 1
684, 283119, 1
685, 186470, 1
686, 237317, 1
687, 165262, 1
688, 97280, 1
689, 80444, 1
690, 80444, 1
691, 283119, 1
692, 346388, 0
693, 283119, 1
694, 282219, 0
695, 288900, 1
696, 298074, 0
697, 258657, 1
698, 130322, 1
699, 283119, 1
700, 157304, 1
701, 81044, 1
702, 81464, 1
703, 78568, 0
704, 221184, 1
705, 148140, 1
706, 90858, 1
707, 298521, 1
708, 98532, 0
709, 157304, 1
710, 78568, 0
711, 165847, 1
712, 174065, 1
713, 259864, 1
714, 157304, 1
715, 157304, 1
716, 168284, 1
717, 158220, 1
718, 157304, 1
719, 157304, 1
720, 75308, 0
721, 169092, 0
722, 90768, 0
723, 75308, 0
724, 198800, 0
725, 87904, 0
726, 90584, 0
727, 71990, 0
728, 125511, 0
729, 116760, 0
730, 71990, 0
731, 154836, 0
732, 104532, 0
733, 92568, 0
734, 202248, 0
735, 177873, 0
736, 170478, 0
737, 143682, 0
738, 105656, 0
739, 78208, 1
740, 152656, 0
741, 115119, 1
742, 91876, 1
743, 283768, 0
744, 72848, 1
745, 183805, 1
746, 109863, 0
747, 152656, 0
748, 192850, 0
749, 278516, 0
750, 72848, 1
751, 237104, 0
752, 152656, 0
753, 161680, 0
754, 152656, 0
755, 176813, 0
756, 252938, 0
757, 155958, 0
758, 223314, 0
759, 183512, 0
760, 241222, 1
761, 89030, 1
762, 242546, 1
763, 123185, 1
764, 241222, 1
765, 241976, 0
766, 241222, 1
767, 271266, 1
768, 269677, 0
769, 241222, 1
770, 89030, 1
771, 239461, 1
772, 298161, 1
773, 277762, 1
774, 241222, 1
775, 241222, 1
776, 241222, 1
777, 241502, 1
778, 238322, 0
779, 226096, 1
780, 98426, 1
781, 98426, 1
782, 91990, 1
783, 284581, 0
784, 83568, 1
785, 97328, 1
786, 103385, 1
787, 186876, 0
788, 81722, 1
789, 110954, 1
790, 81722, 1
791, 175528, 1
792, 130268, 1
793, 116150, 1
794, 217266, 0
795, 129290, 1
796, 156812, 1
797, 120752, 1
798, 189415, 1
799, 179858, 1
800, 160200, 1
801, 93206, 1
802, 218747, 1
803, 181163, 1
804, 86620, 1
805, 203446, 1
806, 136988, 1
807, 103694, 1
808, 160200, 1
809, 322343, 1
810, 86620, 1
811, 265575, 1
812, 182508, 1
813, 160200, 1
814, 199514, 1
815, 145750, 1
816, 142868, 1
817, 160200, 1
818, 203126, 1
819, 189272, 1
820, 166763, 1
821, 140210, 1
822, 93900, 1
823, 94992, 1
824, 166763, 1
825, 235990, 1
826, 258074, 1
827, 203360, 1
828, 178504, 1
829, 194852, 1
830, 93900, 1
831, 190172, 1
832, 99360, 1
833, 262082, 1
834, 102624, 1
835, 168926, 1
836, 194616, 0
837, 215730, 0
838, 190172, 1
839, 175797, 0
840, 109828, 1
841, 186186, 0
842, 109828, 1
843, 117700, 1
844, 152737, 0
845, 103574, 1
846, 136434, 1
847, 90272, 0
848, 232686, 0
849, 246731, 1
850, 90272, 0
851, 146564, 1
852, 154179, 0
853, 133952, 1
854, 165764, 1
855, 145580, 1
856, 151156, 1
857, 148805, 1
858, 184160, 1
859, 243476, 1
860, 110231, 1
861, 149838, 0
862, 169519, 0
863, 240261, 0
864, 240261, 0
865, 155428, 0
866, 108785, 1
867, 110231, 1
868, 111196, 1
869, 160505, 1
870, 108785, 1
871, 158816, 1
872, 224783, 1
873, 189263, 1
874, 165588, 1
875, 92043, 1
876, 222779, 1
877, 119380, 1
878, 174911, 1
879, 232811, 1
880, 92043, 1
881, 108785, 1
882, 242755, 1
883, 232496, 1
884, 148718, 1
885, 112916, 1
886, 160047, 1
887, 180243, 1
888, 160047, 1
889, 307405, 1
890, 365355, 1
891, 200126, 1
892, 81459, 1
893, 92003, 1
894, 93151, 1
895, 365355, 1
896, 338863, 1
897, 365355, 1
898, 369096, 0
899, 365355, 1
900, 81459, 1
901, 365355, 1
902, 365355, 1
903, 289120, 1
904, 309915, 1
905, 289225, 1
906, 365420, 1
907, 289120, 1
908, 365040, 0
909, 365355, 1
910, 290990, 1
911, 221991, 1
912, 290990, 1
913, 365355, 1
914, 365355, 1
915, 289120, 1
916, 246674, 1
917, 379044, 1
918, 230721, 1
919, 303321, 1
920, 221991, 1
921, 137609, 1
922, 307215, 1
923, 177721, 1
924, 290990, 1
925, 230721, 1
926, 290990, 1
927, 290990, 1
928, 290990, 1
929, 303321, 1
930, 137609, 1
931, 268212, 1
932, 100345, 1
933, 287070, 1
934, 268212, 1
935, 284177, 1
936, 128541, 1
937, 240179, 1
938, 328755, 1
939, 292950, 1
940, 100345, 1
941, 252210, 1
942, 288200, 1
943, 250340, 1
944, 293310, 1
945, 147090, 1
946, 189875, 1
947, 250380, 1
948, 189875, 1
949, 352251, 1
950, 115635, 1
951, 351936, 0
952, 115635, 1
953, 222945, 1
954, 144105, 1
955, 192375, 1
956, 219295, 1
957, 352251, 1
958, 191190, 1
959, 199487, 1
960, 115635, 1
961, 158450, 1
962, 192415, 1
963, 199172, 1
964, 121840, 1
965, 152903, 1
966, 212285, 1
967, 127577, 1
968, 144895, 1
969, 199972, 1
970, 142280, 1
971, 177487, 1
972, 142280, 1
973, 142280, 1
974, 152135, 1
975, 221697, 1
976, 131135, 1
977, 201716, 1
978, 142280, 1
979, 212848, 1
980, 131135, 1
981, 235090, 1
982, 219851, 1
983, 242840, 1
984, 267110, 1
985, 348431, 1
986, 206354, 1
987, 265214, 1
988, 142280, 1
989, 211995, 1
990, 131060, 1
991, 229535, 1
992, 145292, 1
993, 355977, 1
994, 216990, 1
995, 136107, 1
996, 131060, 1
997, 136988, 1
998, 143852, 1
999, 220306, 1
1000, 131060, 1
1001, 177396, 1
1002, 181067, 1
1003, 210108, 1
1004, 119542, 1
1005, 142805, 1
1006, 125600, 1
1007, 158180, 1
1008, 344307, 1
1009, 149150, 1
1010, 119542, 1
1011, 145164, 1
1012, 130820, 1
1013, 131060, 1
1014, 86990, 1
1015, 114680, 1
1016, 260532, 1
1017, 228704, 1
1018, 260292, 0
1019, 149428, 1
1020, 86990, 1
1021, 119542, 1
1022, 200141, 1
1023, 119949, 1
1024, 131414, 1
1025, 308808, 1
1026, 131414, 1
1027, 223002, 1
1028, 124190, 1
1029, 160718, 1
1030, 102255, 1
1031, 154564, 1
1032, 103370, 1
1033, 107340, 1
1034, 102255, 1
1035, 159091, 1
