0, 646, 1
1, 850, 2
2, 760, 7
3, 858, 4
4, 770, 1
5, 814, 0
6, 1222, 9
7, 1200, 12
8, 858, 2
9, 544, 8
10, 1250, 13
11, 875, 0
12, 875, 5
13, 925, 1
14, 468, 0
15, 567, 0
16, 684, 9
17, 828, 1
18, 814, 3
19, 684, 5
20, 798, 8
21, 720, 5
22, 726, 8
23, 697, 6
24, 713, 0
25, 690, 0
26, 630, 4
27, 627, 1
28, 936, 4
29, 616, 4
30, 874, 9
31, 814, 0
32, 1127, 14
33, 912, 2
34, 777, 6
35, 828, 0
36, 960, 5
37, 675, 1
38, 555, 15
39, 720, 3
40, 660, 0
41, 627, 2
42, 720, 0
43, 900, 0
44, 825, 0
45, 736, 1
46, 770, 0
47, 825, 1
48, 966, 6
49, 805, 5
50, 770, 1
51, 814, 10
52, 726, 4
53, 1075, 10
54, 1025, 5
55, 920, 5
56, 903, 12
57, 828, 11
58, 704, 0
59, 798, 5
60, 875, 4
61, 700, 6
62, 744, 0
63, 738, 8
64, 1210, 20
65, 759, 3
66, 819, 2
67, 975, 4
68, 819, 7
69, 735, 5
70, 741, 9
71, 805, 0
72, 777, 0
73, 714, 0
74, 836, 6
75, 832, 5
76, 690, 2
77, 1219, 15
78, 726, 0
79, 840, 2
80, 814, 0
81, 984, 4
82, 936, 6
83, 780, 2
84, 684, 2
85, 780, 10
86, 1050, 7
87, 1075, 11
88, 777, 9
89, 680, 5
90, 714, 2
91, 832, 0
92, 720, 0
93, 682, 2
94, 486, 4
95, 875, 2
96, 740, 2
97, 630, 0
98, 760, 0
99, 1081, 12
100, 594, 0
101, 875, 0
102, 897, 4
103, 684, 6
104, 760, 7
105, 798, 0
106, 714, 2
107, 920, 5
108, 902, 5
109, 490, 5
110, 832, 0
111, 792, 1
112, 720, 2
113, 936, 1
114, 567, 0
115, 748, 0
116, 740, 4
117, 480, 10
118, 594, 1
119, 1150, 10
120, 816, 3
121, 1250, 13
122, 770, 3
123, 720, 3
124, 720, 3
125, 814, 3
126, 740, 6
127, 814, 11
128, 840, 4
129, 943, 4
130, 805, 1
131, 759, 3
132, 713, 4
133, 825, 2
134, 962, 3
135, 836, 5
136, 800, 1
137, 1125, 10
138, 665, 0
139, 760, 0
140, 943, 3
141, 825, 0
142, 880, 17
143, 825, 0
144, 713, 4
145, 616, 16
146, 792, 0
147, 897, 4
148, 748, 2
149, 735, 0
150, 861, 4
151, 720, 0
152, 684, 9
153, 805, 0
154, 950, 0
155, 960, 5
156, 832, 1
157, 570, 3
158, 880, 5
159, 989, 5
160, 750, 3
161, 782, 0
162, 900, 1
163, 836, 6
164, 858, 0
165, 858, 0
166, 576, 0
167, 792, 0
168, 817, 11
169, 800, 0
170, 805, 2
171, 1403, 25
172, 756, 0
173, 672, 0
174, 768, 4
175, 740, 8
176, 900, 10
177, 640, 5
178, 682, 2
179, 1075, 14
180, 693, 10
181, 900, 0
182, 900, 0
183, 819, 2
184, 851, 1
185, 864, 2
186, 825, 0
187, 819, 7
188, 756, 3
189, 888, 3
190, 936, 3
191, 666, 5
192, 850, 3
193, 720, 5
194, 782, 1
195, 798, 0
196, 875, 0
197, 874, 2
198, 840, 3
199, 792, 0
200, 924, 8
