optimum
2500
iteration,score,rawScore,overlap
0, 47470, 47470, 0
1, 50059, 48517, 6
2, 48702, 47674, 4
3, 51670, 50128, 6
4, 84108, 48642, 138
5, 51133, 43423, 30
6, 46930, 46930, 0
7, 62230, 49894, 48
8, 57234, 50038, 28
9, 51062, 26390, 96
10, 61750, 45045, 65
11, 64199, 48265, 62
12, 50080, 45968, 16
13, 59177, 39388, 77
14, 52137, 49053, 12
15, 55708, 47998, 30
16, 53530, 50960, 10
17, 60404, 47040, 52
18, 43852, 35371, 33
19, 105427, 50429, 273
20, 69427, 34475, 136
21, 51642, 49329, 9
22, 50389, 48076, 9
23, 39052, 38024, 4
24, 64286, 47838, 64
25, 74880, 47124, 108
26, 56961, 44368, 49
27, 61400, 47008, 56
28, 54852, 45600, 36
29, 69184, 52736, 64
30, 50388, 50388, 0
31, 69462, 46332, 90
32, 55908, 45114, 42
33, 69868, 50336, 76
34, 67132, 51455, 61
35, 65412, 49735, 61
36, 41200, 41200, 0
37, 73267, 42427, 120
38, 51798, 48200, 14
39, 54038, 43758, 40
40, 60028, 33043, 105
41, 67962, 47916, 78
42, 47721, 41553, 24
43, 84608, 45287, 153
44, 41416, 36019, 21
45, 66689, 44073, 88
46, 62561, 43800, 73
47, 62732, 40887, 85
48, 60951, 38335, 88
49, 44850, 44850, 0
50, 57651, 43259, 56
51, 45008, 45008, 0
52, 43828, 41772, 8
53, 49924, 49153, 3
54, 48048, 48048, 0
55, 54706, 44426, 40
56, 40248, 40248, 0
57, 55309, 48884, 25
58, 59342, 46492, 50
59, 68742, 45355, 91
60, 50007, 50007, 0
61, 71706, 51660, 78
62, 44440, 44440, 0
63, 68041, 51336, 65
64, 87220, 49184, 148
65, 50553, 48240, 9
66, 59461, 45840, 53
67, 87562, 40788, 182
68, 48608, 48608, 0
69, 56251, 53424, 11
70, 48564, 46765, 7
71, 71195, 50635, 80
72, 59442, 50190, 36
73, 49492, 47436, 8
74, 60795, 51543, 36
75, 47992, 44908, 12
76, 44888, 34608, 40
77, 103018, 48020, 377
78, 79492, 48138, 122
79, 59970, 44550, 60
80, 84677, 48954, 139
81, 70521, 49447, 82
82, 56955, 49245, 30
83, 59538, 46945, 49
