x,y,index
120, 60, 0
121, 60, 0
122, 60, 0
123, 60, 0
124, 60, 0
125, 60, 0
126, 60, 0
127, 60, 0
128, 60, 0
129, 60, 0
120, 61, 0
121, 61, 0
122, 61, 0
123, 61, 0
124, 61, 0
125, 61, 0
126, 61, 0
127, 61, 0
128, 61, 0
129, 61, 0
120, 62, 0
121, 62, 0
122, 62, 0
123, 62, 0
124, 62, 0
125, 62, 0
126, 62, 0
127, 62, 0
128, 62, 0
129, 62, 0
120, 63, 0
121, 63, 0
122, 63, 0
123, 63, 0
124, 63, 0
125, 63, 0
126, 63, 0
127, 63, 0
128, 63, 0
129, 63, 0
120, 64, 0
121, 64, 0
122, 64, 0
123, 64, 0
124, 64, 0
125, 64, 0
126, 64, 0
127, 64, 0
128, 64, 0
129, 64, 0
120, 65, 0
121, 65, 0
122, 65, 0
123, 65, 0
124, 65, 0
125, 65, 0
126, 65, 0
127, 65, 0
128, 65, 0
129, 65, 0
120, 66, 0
121, 66, 0
122, 66, 0
123, 66, 0
124, 66, 0
125, 66, 0
126, 66, 0
127, 66, 0
128, 66, 0
129, 66, 0
120, 67, 0
121, 67, 0
122, 67, 0
123, 67, 0
124, 67, 0
125, 67, 0
126, 67, 0
127, 67, 0
128, 67, 0
129, 67, 0
190, 76, 1
191, 76, 1
192, 76, 1
193, 76, 1
194, 76, 1
195, 76, 1
196, 76, 1
197, 76, 1
198, 76, 1
199, 76, 1
200, 76, 1
201, 76, 1
202, 76, 1
203, 76, 1
204, 76, 1
205, 76, 1
206, 76, 1
207, 76, 1
208, 76, 1
209, 76, 1
210, 76, 1
211, 76, 1
212, 76, 1
213, 76, 1
214, 76, 1
215, 76, 1
216, 76, 1
217, 76, 1
218, 76, 1
219, 76, 1
220, 76, 1
221, 76, 1
222, 76, 1
223, 76, 1
224, 76, 1
225, 76, 1
226, 76, 1
190, 77, 1
191, 77, 1
192, 77, 1
193, 77, 1
194, 77, 1
195, 77, 1
196, 77, 1
197, 77, 1
198, 77, 1
199, 77, 1
200, 77, 1
201, 77, 1
202, 77, 1
203, 77, 1
204, 77, 1
205, 77, 1
206, 77, 1
207, 77, 1
208, 77, 1
209, 77, 1
210, 77, 1
211, 77, 1
212, 77, 1
213, 77, 1
214, 77, 1
215, 77, 1
216, 77, 1
217, 77, 1
218, 77, 1
219, 77, 1
220, 77, 1
221, 77, 1
222, 77, 1
223, 77, 1
224, 77, 1
225, 77, 1
226, 77, 1
190, 78, 1
191, 78, 1
192, 78, 1
193, 78, 1
194, 78, 1
195, 78, 1
196, 78, 1
197, 78, 1
198, 78, 1
199, 78, 1
200, 78, 1
201, 78, 1
202, 78, 1
203, 78, 1
204, 78, 1
205, 78, 1
206, 78, 1
207, 78, 1
208, 78, 1
209, 78, 1
210, 78, 1
211, 78, 1
212, 78, 1
213, 78, 1
214, 78, 1
215, 78, 1
216, 78, 1
217, 78, 1
218, 78, 1
219, 78, 1
220, 78, 1
221, 78, 1
222, 78, 1
223, 78, 1
224, 78, 1
225, 78, 1
226, 78, 1
190, 79, 1
191, 79, 1
192, 79, 1
193, 79, 1
194, 79, 1
195, 79, 1
196, 79, 1
197, 79, 1
198, 79, 1
199, 79, 1
200, 79, 1
201, 79, 1
202, 79, 1
203, 79, 1
204, 79, 1
205, 79, 1
206, 79, 1
207, 79, 1
208, 79, 1
209, 79, 1
210, 79, 1
211, 79, 1
212, 79, 1
213, 79, 1
214, 79, 1
215, 79, 1
216, 79, 1
217, 79, 1
218, 79, 1
219, 79, 1
220, 79, 1
221, 79, 1
222, 79, 1
223, 79, 1
224, 79, 1
225, 79, 1
226, 79, 1
170, 104, 2
171, 104, 2
172, 104, 2
173, 104, 2
174, 104, 2
175, 104, 2
176, 104, 2
177, 104, 2
178, 104, 2
179, 104, 2
180, 104, 2
181, 104, 2
182, 104, 2
183, 104, 2
184, 104, 2
185, 104, 2
186, 104, 2
187, 104, 2
188, 104, 2
189, 104, 2
170, 105, 2
171, 105, 2
172, 105, 2
173, 105, 2
174, 105, 2
175, 105, 2
176, 105, 2
177, 105, 2
178, 105, 2
179, 105, 2
180, 105, 2
181, 105, 2
182, 105, 2
183, 105, 2
184, 105, 2
