x,y,index
184, 55, 0
185, 55, 0
186, 55, 0
187, 55, 0
188, 55, 0
189, 55, 0
190, 55, 0
191, 55, 0
192, 55, 0
193, 55, 0
194, 55, 0
195, 55, 0
179, 56, 0
180, 56, 0
181, 56, 0
182, 56, 0
183, 56, 0
184, 56, 0
185, 56, 0
186, 56, 0
187, 56, 0
188, 56, 0
189, 56, 0
190, 56, 0
191, 56, 0
192, 56, 0
193, 56, 0
194, 56, 0
195, 56, 0
196, 56, 0
197, 56, 0
198, 56, 0
179, 57, 0
180, 57, 0
181, 57, 0
182, 57, 0
183, 57, 0
184, 57, 0
185, 57, 0
186, 57, 0
187, 57, 0
188, 57, 0
189, 57, 0
190, 57, 0
191, 57, 0
192, 57, 0
193, 57, 0
194, 57, 0
195, 57, 0
196, 57, 0
197, 57, 0
198, 57, 0
199, 57, 0
200, 57, 0
179, 58, 0
180, 58, 0
181, 58, 0
182, 58, 0
183, 58, 0
184, 58, 0
185, 58, 0
186, 58, 0
187, 58, 0
188, 58, 0
189, 58, 0
190, 58, 0
191, 58, 0
192, 58, 0
193, 58, 0
194, 58, 0
195, 58, 0
196, 58, 0
179, 59, 0
180, 59, 0
181, 59, 0
182, 59, 0
183, 59, 0
184, 59, 0
185, 59, 0
186, 59, 0
187, 59, 0
188, 59, 0
189, 59, 0
190, 59, 0
191, 59, 0
192, 59, 0
193, 59, 0
194, 59, 0
179, 60, 0
180, 60, 0
181, 60, 0
182, 60, 0
183, 60, 0
184, 60, 0
185, 60, 0
186, 60, 0
187, 60, 0
188, 60, 0
189, 60, 0
190, 60, 0
191, 60, 0
192, 60, 0
193, 60, 0
179, 61, 0
180, 61, 0
181, 61, 0
182, 61, 0
183, 61, 0
184, 61, 0
185, 61, 0
186, 61, 0
187, 61, 0
188, 61, 0
189, 61, 0
190, 61, 0
191, 61, 0
192, 61, 0
179, 62, 0
180, 62, 0
181, 62, 0
182, 62, 0
183, 62, 0
184, 62, 0
185, 62, 0
186, 62, 0
187, 62, 0
188, 62, 0
189, 62, 0
190, 62, 0
191, 62, 0
179, 63, 0
180, 63, 0
181, 63, 0
182, 63, 0
183, 63, 0
184, 63, 0
185, 63, 0
186, 63, 0
187, 63, 0
188, 63, 0
189, 63, 0
190, 63, 0
179, 64, 0
180, 64, 0
181, 64, 0
182, 64, 0
183, 64, 0
184, 64, 0
185, 64, 0
186, 64, 0
187, 64, 0
188, 64, 0
189, 64, 0
190, 64, 0
179, 65, 0
180, 65, 0
181, 65, 0
182, 65, 0
183, 65, 0
184, 65, 0
185, 65, 0
186, 65, 0
187, 65, 0
188, 65, 0
189, 65, 0
179, 66, 0
180, 66, 0
181, 66, 0
182, 66, 0
183, 66, 0
184, 66, 0
185, 66, 0
186, 66, 0
187, 66, 0
188, 66, 0
179, 67, 0
180, 67, 0
181, 67, 0
182, 67, 0
183, 67, 0
184, 67, 0
185, 67, 0
186, 67, 0
187, 67, 0
179, 68, 0
180, 68, 0
181, 68, 0
182, 68, 0
183, 68, 0
184, 68, 0
185, 68, 0
186, 68, 0
179, 69, 0
180, 69, 0
181, 69, 0
182, 69, 0
183, 69, 0
184, 69, 0
185, 69, 0
179, 70, 0
180, 70, 0
181, 70, 0
182, 70, 0
183, 70, 0
184, 70, 0
185, 70, 0
179, 71, 0
180, 71, 0
181, 71, 0
182, 71, 0
183, 71, 0
184, 71, 0
179, 72, 0
