x,y,index
10, 6, 0
11, 6, 0
12, 6, 0
13, 6, 0
10, 7, 0
11, 7, 0
12, 7, 0
13, 7, 0
10, 8, 0
11, 8, 0
12, 8, 0
13, 8, 0
17, 1, 1
18, 1, 1
19, 1, 1
20, 1, 1
21, 1, 1
22, 1, 1
23, 1, 1
24, 2, 2
25, 2, 2
26, 2, 2
27, 2, 2
24, 3, 2
25, 3, 2
26, 3, 2
27, 3, 2
24, 4, 2
25, 4, 2
26, 4, 2
27, 4, 2
24, 5, 2
25, 5, 2
26, 5, 2
27, 5, 2
24, 6, 2
25, 6, 2
26, 6, 2
27, 6, 2
24, 7, 2
25, 7, 2
26, 7, 2
27, 7, 2
20, 10, 3
21, 10, 3
20, 11, 3
21, 11, 3
20, 12, 3
21, 12, 3
20, 13, 3
21, 13, 3
20, 14, 3
21, 14, 3
20, 15, 3
21, 15, 3
2, 15, 4
3, 15, 4
4, 15, 4
5, 15, 4
2, 16, 4
3, 16, 4
4, 16, 4
5, 16, 4
6, 12, 5
7, 12, 5
8, 12, 5
9, 12, 5
6, 13, 5
7, 13, 5
8, 13, 5
9, 13, 5
6, 14, 5
7, 14, 5
8, 14, 5
9, 14, 5
6, 15, 5
7, 15, 5
8, 15, 5
9, 15, 5
6, 16, 5
7, 16, 5
8, 16, 5
9, 16, 5
13, 4, 6
14, 4, 6
15, 4, 6
3, 3, 7
4, 3, 7
5, 3, 7
6, 3, 7
7, 3, 7
8, 3, 7
12, 2, 8
13, 2, 8
12, 3, 8
13, 3, 8
13, 0, 9
14, 0, 9
15, 0, 9
16, 0, 9
